직원명,부서,직급,평가주기,평가유형,리더십,커뮤니케이션,직무 전문성,협업·팀워크,혁신·창의성,성과 달성
김지원,개발팀,대리,2026 상반기,자기평가,4,4,5,4,3,4
김지원,개발팀,대리,2026 상반기,상사평가,4,4,5,5,4,5
김지원,개발팀,대리,2026 상반기,동료평가,3,5,4,5,4,4
김지원,개발팀,대리,2026 상반기,부하평가,4,4,4,4,3,4
이민석,기획팀,과장,2026 상반기,자기평가,5,4,4,3,5,4
이민석,기획팀,과장,2026 상반기,상사평가,4,4,4,4,4,4
이민석,기획팀,과장,2026 상반기,동료평가,4,3,4,3,5,4
이민석,기획팀,과장,2026 상반기,부하평가,4,4,3,4,4,4
박서윤,마케팅팀,사원,2026 상반기,자기평가,3,4,3,4,4,3
박서윤,마케팅팀,사원,2026 상반기,상사평가,3,4,3,4,4,4
박서윤,마케팅팀,사원,2026 상반기,동료평가,3,5,3,5,4,3
박서윤,마케팅팀,사원,2026 상반기,부하평가,3,4,3,4,3,3
최현준,영업팀,부장,2026 상반기,자기평가,5,4,5,4,3,5
최현준,영업팀,부장,2026 상반기,상사평가,4,3,5,4,3,5
최현준,영업팀,부장,2026 상반기,동료평가,4,3,4,3,3,4
최현준,영업팀,부장,2026 상반기,부하평가,3,3,4,3,3,4
